Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,XCUR,Healthcare,Biotechnology,NASDAQ,571.11,99,99,80,2
2,ARQQ,Technology,Softwareâ€”Infrastructure,NASDAQ,545.28,99,96,2,7
3,WAVE,Utilities,Utilities—Independent Power Producers,NASDAQ,539.02,99,99,99,30
4,AGFY,Industrials,Specialty Business Services,NASDAQ,508.86,99,99,2,4
5,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,463.29,99,97,99,56
6,IONQ,Technology,Computer Hardware,NYSE,456.59,99,99,29,17
7,WKEY,Technology,Semiconductors,NASDAQ,450.58,99,33,69,34
8,AMPG,Technology,Communication Equipment,NASDAQ,421.09,99,16,3,4
9,RKLB,Industrials,Aerospace & Defense,NASDAQ,413.75,99,99,98,69
10,APP,Technology,Softwareâ€”Application,NASDAQ,402.86,99,99,99,98
11,SRRK,Healthcare,Biotechnology,NASDAQ,399.02,99,99,12,17
12,SGMO,Healthcare,Biotechnology,NASDAQ,385.19,99,99,97,9
13,DOGZ,Consumer Defensive,Household & Personal Products,NASDAQ,383.39,99,99,99,98
14,MESO,Healthcare,Biotechnology,NASDAQ,380.13,99,99,99,98
15,INTZ,Technology,Software—Application,NASDAQ,380.07,99,1,2,0
16,MFH,Financial Services,Capital Markets,NASDAQ,371.51,99,99,69,68
17,HUIZ,Financial Services,Insurance Brokers,NASDAQ,366.12,99,10,33,86
18,OPTT,Industrials,Electrical Equipment & Parts,NYSE MKT,365.72,99,97,2,82
19,REAL,Consumer Cyclical,Specialty Retail,NASDAQ,356.32,99,97,68,91
20,INOD,Technology,Information Technology Services,NASDAQ,353.17,99,99,95,99
21,NXU,Financial Services,Shell Companies,NASDAQ,349.42,99,4,2,1
22,CMRX,Healthcare,Biotechnology,NASDAQ,337.14,99,22,32,19
23,ICLK,Communication Services,Advertising Agencies,NASDAQ,335.27,99,99,93,4
24,KC,Technology,Software—Application,NASDAQ,332.95,99,98,77,15
25,RDW,Industrials,Aerospace & Defense,NYSE,330.99,99,99,95,99
26,FOA,Financial Services,Credit Services,NYSE,329.99,99,98,92,5
27,ASTS,Communication Services,Telecom Services,NASDAQ,329.8,99,99,99,99
28,QURE,Healthcare,Biotechnology,NASDAQ,319.68,99,43,27,96
29,KOD,Healthcare,Biotechnology,NASDAQ,318.82,99,97,39,13
30,ATOM,Technology,Semiconductor Equipment & Materials,NASDAQ,318.15,99,93,3,6
31,PULM,Healthcare,Biotechnology,NASDAQ,317.56,99,99,36,42
32,ALGS,Healthcare,Biotechnology,NASDAQ,315.72,99,93,4,6
33,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,311.27,99,99,99,98
34,VUZI,Technology,Consumer Electronics,NASDAQ,305.1,99,95,9,8
35,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,302.6,99,98,98,96
36,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,301.11,99,99,99,99
37,ONDS,Technology,Communication Equipment,NASDAQ,299.14,99,46,19,12
38,DBVT,Healthcare,Biotechnology,NASDAQ,295.61,99,99,4,2
39,PSTX,Healthcare,Biotechnology,NASDAQ,290.39,99,99,22,78
40,CANG,Communication Services,Internet Content & Information,NYSE,289.13,99,99,87,95
41,NEON,Technology,Electronic Components,NASDAQ,283.63,99,99,99,87
42,SMMT,Healthcare,Biotechnology,NASDAQ,281.93,99,99,99,99
43,PLTR,Technology,Software—Infrastructure,NASDAQ,272.2,99,99,97,94
44,QSI,Healthcare,Biotechnology,NASDAQ,268.95,99,34,7,4
45,ETON,Healthcare,Biotechnology,NASDAQ,268.31,99,99,97,26
46,WATT,Technology,Scientific & Technical Instruments,NASDAQ,267.36,99,1,2,4
47,BSGM,Healthcare,Medical Devices,NASDAQ,263.59,98,98,2,0
48,AAOI,Technology,Semiconductors,NASDAQ,263.15,98,99,88,19
49,PSNL,Healthcare,Diagnostics & Research,NASDAQ,262.9,98,95,99,45
