Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,CABA,Healthcare,Biotechnology,NASDAQ,444.07,99,85,3,2
2,UCL,Communication Services,Telecom Services,NASDAQ,415.85,99,99,1,8
3,NINE,Energy,Oil & Gas Equipment & Services,NYSE,371.82,99,99,97,97
4,BIVI,Healthcare,Biotechnology,NASDAQ,368.47,99,99,46,3
5,RYTM,Healthcare,Biotechnology,NASDAQ,343.38,99,99,99,6
6,IMVT,Healthcare,Biotechnology,NASDAQ,300.52,99,99,52,17
7,AKRO,Healthcare,Biotechnology,NASDAQ,282.21,99,99,98,19
8,RXDX,Healthcare,Biotechnology,NASDAQ,281.49,99,94,99,65
9,TRMD,Energy,Oil & Gas Midstream,NASDAQ,273.36,99,99,99,99
10,TOUR,Consumer Cyclical,Travel Services,NASDAQ,273.11,99,75,57,9
11,AVEO,Healthcare,Biotechnology,NASDAQ,268.53,99,99,98,60
12,CVU,Industrials,Aerospace & Defense,NYSE MKT,262.88,99,97,2,20
13,GLYC,Healthcare,Biotechnology,NASDAQ,262.38,99,96,13,8
14,CJJD,Healthcare,Pharmaceutical Retailers,NASDAQ,261.69,99,10,9,10
15,ASC,Industrials,Marine Shipping,NYSE,261.05,99,99,99,99
16,MACK,Healthcare,Biotechnology,NASDAQ,259.91,99,99,25,95
17,FDMT,Healthcare,Biotechnology,NASDAQ,258.88,99,86,27,5
18,PTPI,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,258.55,99,8,6,9
19,TH,Energy,Oil & Gas Equipment & Services,NASDAQ,253.36,99,99,99,98
20,KLXE,Energy,Oil & Gas Equipment & Services,NASDAQ,247.58,99,99,96,62
21,IMRA,Healthcare,Biotechnology,NASDAQ,238.75,99,99,96,8
22,STNG,Energy,Oil & Gas Midstream,NYSE,234.45,99,99,99,99
23,CLRO,Technology,Communication Equipment,NASDAQ,233.83,99,21,19,12
24,MSC,Consumer Cyclical,Resorts & Casinos,NYSE,232.51,99,33,5,3
25,TUSK,Energy,Oil & Gas Equipment & Services,NASDAQ,231.55,99,99,99,74
26,AXSM,Healthcare,Biotechnology,NASDAQ,227.28,99,98,99,24
27,AVTE,Healthcare,Biotechnology,NASDAQ,225.12,99,94,93,66
28,HNRG,Energy,Thermal Coal,NASDAQ,219.24,99,99,99,99
29,CAAS,Consumer Cyclical,Auto Parts,NASDAQ,215.26,99,95,96,54
30,TMDX,Healthcare,Medical Devices,NASDAQ,214.47,99,99,99,94
31,ARDX,Healthcare,Biotechnology,NASDAQ,213.52,99,98,98,10
32,GRIL,Consumer Cyclical,Restaurants,NASDAQ,213.11,99,17,34,16
33,VRNA,Healthcare,Biotechnology,NASDAQ,210.99,99,99,99,35
34,NUVL,Healthcare,Biotechnology,NASDAQ,210.89,99,99,93,35
35,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,206.28,99,99,98,93
36,PRTA,Healthcare,Biotechnology,NASDAQ,205.54,99,99,35,20
37,UPC,Healthcare,Biotechnology,NASDAQ,203.91,99,96,5,19
38,CPRX,Healthcare,Biotechnology,NASDAQ,202.38,99,98,99,83
39,STIM,Healthcare,Diagnostics & Research,NASDAQ,202.19,99,95,20,40
40,BTB,Consumer Cyclical,Restaurants,NASDAQ,200.07,99,4,2,20
41,PDSB,Healthcare,Biotechnology,NASDAQ,198.61,99,42,15,9
