Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,CABA,Healthcare,Biotechnology,NASDAQ,496.54,99,99,99,2
2,AMAM,Healthcare,Biotechnology,NASDAQ,406.91,99,99,51,1
3,VKTX,Healthcare,Biotechnology,NASDAQ,397.39,99,99,99,32
4,AAMC,Financial Services,Asset Management,NYSE MKT,396.59,99,99,97,95
5,BMEA,Healthcare,Biotechnology,NASDAQ,381.28,99,98,46,91
6,PRVB,Healthcare,Biotechnology,NASDAQ,380.76,99,94,98,96
7,ARDX,Healthcare,Biotechnology,NASDAQ,374.98,99,99,99,99
8,INZY,Healthcare,Biotechnology,NASDAQ,295.26,99,93,3,5
9,UNCY,Healthcare,Biotechnology,NASDAQ,292.16,99,6,10,9
10,NVCN,Healthcare,Medical Devices,NASDAQ,292.15,99,99,99,30
11,UCL,Communication Services,Telecom Services,NASDAQ,283.12,99,99,99,2
12,ENSC,Healthcare,Biotechnology,NASDAQ,277.19,99,0,0,0
13,NYC,Real Estate,REIT—Office,NYSE,274.31,99,99,3,9
14,RETA,Healthcare,Biotechnology,NASDAQ,266.58,99,99,91,19
15,EZGO,Consumer Cyclical,Recreational Vehicles,NASDAQ,261.67,99,99,92,5
16,CVV,Industrials,Specialty Industrial Machinery,NASDAQ,260.7,99,99,89,93
17,ETNB,Healthcare,Biotechnology,NASDAQ,258.99,99,99,99,99
18,PESI,Industrials,Waste Management,NASDAQ,258.28,99,95,21,26
19,EMAN,Technology,Electronic Components,NYSE MKT,252.98,99,90,62,21
20,BIVI,Healthcare,Biotechnology,NASDAQ,242.59,99,98,99,57
21,AEHR,Technology,Semiconductor Equipment & Materials,NASDAQ,241.04,99,98,97,99
22,TERN,Healthcare,Biotechnology,NASDAQ,239.44,99,99,99,99
23,USX,Industrials,Trucking,NYSE,238.25,99,8,11,21
24,CIFR,Financial Services,Capital Markets,NASDAQ,236.64,99,85,3,5
25,UIHC,Financial Services,Insurance—Property & Casualty,NASDAQ,235.41,99,99,41,1
26,KC,Technology,Software—Application,NASDAQ,234.2,99,87,92,2
27,IPDN,Industrials,Staffing & Employment Services,NASDAQ,232.49,99,96,79,67
